food_code,food_name,region,energy_kj,protein_g,fat_g,carbohydrates_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,zinc_mg,phosphorus_mg,potassium_mg,sodium_mg,vitamin_c_mg,folate_mcg
E063,Strawberry,6,103,0.97,0.56,3.4,2.5,15.28,0.36,15.53,0.14,26.31,140.0,1.19,50.2,8.91
E064,"Tamarind, pulp",6,1207,2.92,0.15,67.35,5.31,149.0,9.16,82.73,0.58,113.0,836.0,24.92,3.62,9.79
E065,"Water melon, dark green (sugar baby)",6,85,0.6,0.16,3.86,0.7,5.29,0.22,9.91,0.1,11.33,124.0,1.89,13.26,5.88
E066,"Water melon, pale green",6,70,0.59,0.16,3.02,0.78,4.35,0.16,7.42,0.07,8.09,126.0,1.62,11.45,5.55
E067,Wood Apple,3,327,3.14,3.62,7.52,5.21,55.71,0.45,23.7,0.31,84.32,347.0,1.48,22.17,6.51
E068,Zizyphus,1,204,1.34,0.35,9.4,3.73,46.55,0.4,16.72,0.1,32.38,237.0,1.52,60.93,5.99
F001,Beet root,6,149,1.95,0.14,6.18,3.31,17.28,0.76,33.21,0.3,36.33,306.0,69.44,5.26,97.37
F002,"Carrot, orange",6,139,0.95,0.47,5.55,4.18,35.09,0.6,16.73,0.25,43.06,273.0,52.33,6.22,24.04
F003,"Carrot, red",4,160,1.04,0.47,6.71,4.49,41.06,0.71,18.83,0.34,25.81,267.0,60.69,6.76,23.67
F004,Colocasia,6,372,3.31,0.17,17.85,3.22,30.18,0.66,36.93,0.41,81.16,514.0,4.54,1.83,19.91
F005,Lotus root,3,332,1.94,0.93,14.67,4.7,37.71,3.34,26.58,0.35,74.3,611.0,20.63,26.63,26.49
F006,"Potato, brown skin, big",6,292,1.54,0.23,14.89,1.71,9.52,0.57,24.07,0.28,43.42,541.0,4.11,23.15,15.51
F007,"Potato, brown skin, small",1,255,1.35,0.22,12.9,1.69,8.53,0.53,22.34,0.38,37.9,474.0,3.97,26.41,13.85
F008,"Potato, red skin",1,306,1.83,0.22,15.43,1.68,8.62,0.66,25.54,0.34,30.39,501.0,4.36,25.04,17.83
F009,"Radish, elongate, red skin",3,134,0.67,0.13,6.71,2.46,28.44,0.37,13.34,0.16,27.51,255.0,24.73,17.63,24.65
F010,"Radish, elongate, white skin",6,135,0.77,0.15,6.56,2.65,30.2,0.36,16.07,0.22,30.1,288.0,28.2,19.91,29.75
F011,"Radish, round, red skin",1,130,0.89,0.16,6.07,2.29,35.76,0.42,22.25,0.18,28.27,308.0,32.27,15.69,24.59
F012,"Radish, round, white skin",2,129,0.8,0.14,6.13,2.37,34.23,0.41,15.46,0.17,29.47,287.0,24.14,14.0,22.6
F013,"Sweet potato, brown skin",4,456,1.33,0.26,24.25,3.99,27.5,0.35,17.37,0.16,42.96,345.0,29.6,17.94,15.62
F014,"Sweet potato, pink skin",3,452,1.27,0.33,23.93,3.94,28.93,0.51,21.05,0.14,37.6,329.0,29.04,22.2,14.44
F015,Tapioca,3,334,1.03,0.2,17.81,4.61,25.89,0.81,23.08,0.17,42.55,255.0,10.86,15.51,25.64
F016,Water Chestnut,1,400,0.86,0.37,21.46,3.02,37.15,0.77,57.43,0.67,62.83,382.0,13.08,5.26,9.8
F017,"Yam, elephant",6,353,2.56,0.14,17.46,4.17,46.91,1.22,33.51,0.26,43.06,501.0,14.33,15.22,20.54
F018,"Yam, ordinary",4,349,2.18,0.17,17.65,4.08,16.19,0.77,30.4,0.33,49.46,463.0,15.28,13.88,15.68
F019,"Yam, wild",2,430,3.07,0.3,20.95,4.57,44.13,1.04,31.75,0.31,55.94,654.0,12.8,14.06,21.01
G001,"Chillies, green-1",5,191,2.62,0.73,6.32,4.86,24.1,1.46,34.72,0.31,62.16,431.0,3.32,79.5,25.31
G002,"Chillies, green-2",3,167,2.28,0.75,5.27,5.13,16.86,1.24,27.54,0.26,51.72,321.0,2.47,90.97,25.93
G003,"Chillies, green-3",5,169,2.38,0.75,5.23,5.1,18.04,1.25,29.9,0.27,50.24,317.0,2.56,93.63,20.45
G004,"Chillies, green-4",3,190,2.33,0.74,6.63,4.15,15.87,1.08,29.74,0.28,42.79,318.0,1.94,102.0,15.92
G005,"Chillies, green-5",2,180,2.01,0.65,6.64,3.95,15.31,0.93,23.96,0.31,44.35,317.0,2.19,97.77,17.75
G006,"Chillies, green-6",1,175,3.01,0.64,5.31,5.15,24.82,0.75,34.8,0.29,56.05,340.0,2.43,108.0,18.87
G007,"Chillies, green-7",1,163,2.12,0.6,5.61,4.95,16.85,1.23,26.71,0.17,45.58,319.0,2.0,112.0,19.39
G008,"Chillies, green - all varieties",6,177,2.36,0.72,5.86,4.77,18.45,1.2,29.51,0.27,50.91,341.0,2.5,94.07,21.5
G009,Coriander leaves,6,130,3.52,0.7,1.93,4.66,146.0,5.3,72.68,0.68,64.69,546.0,37.0,23.87,51.01
G010,Curry leaves,6,266,7.41,1.06,4.51,16.83,659.0,8.67,182.0,1.18,83.29,584.0,18.66,6.04,117.0
G011,"Garlic, big clove",6,518,6.92,0.16,21.93,5.22,20.08,1.05,27.08,0.89,119.0,430.0,9.42,12.62,85.77
G012,"Garlic, small clove",3,514,6.75,0.14,21.84,5.47,17.63,0.88,25.78,0.81,116.0,453.0,10.56,13.57,78.82
G013,"Garlic, single clove, Kashmir",1,523,6.12,0.16,23.46,4.01,19.0,1.01,41.13,0.66,128.0,584.0,8.87,15.38,92.25
G014,"Ginger, fresh",6,230,2.22,0.85,8.97,5.36,18.88,1.9,54.66,0.39,44.36,407.0,10.03,5.43,10.82
G015,Mango ginger,3,177,1.45,0.7,6.98,4.74,13.74,2.31,36.86,0.47,68.33,384.0,5.51,1.62,22.62
G016,Mint leaves,4,155,4.66,0.65,2.39,5.89,205.0,8.56,110.0,0.75,65.25,539.0,16.87,17.16,106.0
G017,"Onion, big",6,201,1.5,0.24,9.56,2.45,21.03,0.43,17.96,0.35,32.34,171.0,5.5,6.69,28.88
G018,"Onion, small",5,237,1.82,0.16,11.58,1.16,19.92,0.53,15.16,0.24,39.65,160.0,4.06,10.96,29.68
G019,Asafoetida,6,1387,6.34,1.26,71.95,5.13,266.0,15.68,96.4,0.98,69.09,245.0,16.04,0.0,26.28
G020,"Cardamom, green",6,1067,8.1,2.6,47.76,23.1,378.0,8.33,330.0,3.71,132.0,1262.0,15.51,0.0,2.85
G021,"Cardamom, black",4,1132,6.69,2.8,52.53,23.46,312.0,7.94,286.0,4.75,117.0,1331.0,16.25,0.0,4.96
G022,"Chillies, red",6,990,12.69,6.4,29.46,31.15,99.83,6.23,231.0,1.66,280.0,2245.0,19.45,0.0,51.5
G023,Cloves,6,781,5.86,8.41,18.73,34.52,567.0,9.41,334.0,1.13,83.1,1434.0,183.0,0.0,32.81
G024,Coriander seeds,6,1125,10.66,17.47,12.98,44.81,718.0,17.64,343.0,3.91,293.0,1473.0,34.41,0.0,22.07
G025,Cumin seeds,6,1274,13.91,16.64,22.62,30.35,878.0,20.58,442.0,4.29,382.0,1886.0,125.0,0.0,27.79
G026,Fenugreek seeds,6,983,25.41,5.72,10.57,47.55,135.0,8.47,167.0,3.8,435.0,891.0,40.2,0.0,51.11
G027,Mace,6,1488,6.24,24.41,26.51,20.31,174.0,22.69,207.0,1.16,110.0,623.0,27.17,0.0,32.65
G028,Nutmeg,6,1940,6.3,36.52,27.64,11.99,148.0,2.33,212.0,1.45,207.0,474.0,14.31,0.0,74.78
G029,Omum,6,1495,15.89,21.11,24.53,20.58,1034.0,13.65,273.0,5.67,329.0,1692.0,28.58,0.0,51.79
G030,Pippali,6,906,10.53,2.27,35.7,34.14,414.0,7.99,189.0,1.52,181.0,1852.0,16.28,0.0,66.45
G031,"Pepper, black",6,910,10.12,2.74,36.22,33.16,405.0,11.91,196.0,1.24,144.0,1487.0,24.08,0.0,21.89
G032,Poppy seeds,6,1768,20.31,30.38,12.37,26.68,1372.0,10.13,393.0,6.38,804.0,646.0,25.35,0.0,78.73
G033,Turmeric powder,6,1174,7.66,5.03,49.22,21.38,122.0,46.08,260.0,2.64,276.0,2374.0,24.41,0.0,13.86
H001,Almond,6,2549,18.41,58.49,3.04,13.06,228.0,4.59,318.0,3.5,446.0,699.0,1.5,0.74,36.46
H002,"Arecanut, dried, brown",6,1467,5.78,4.35,70.42,11.44,61.0,2.74,76.39,0.89,105.0,524.0,12.06,0.0,7.54
H003,"Arecanut, dried, red color",3,1477,6.46,4.46,70.27,11.11,51.0,3.26,91.01,1.02,127.0,617.0,17.13,0.0,8.57
H004,"Arecanut, fresh",2,1024,2.73,5.51,45.0,7.63,34.03,1.04,47.6,0.56,90.48,329.0,5.53,0.0,26.51
H005,Cashew nut,6,2438,18.78,45.2,25.46,3.86,34.0,5.95,307.0,5.34,500.0,635.0,9.0,0.0,25.2
H006,"Coconut, kernal, dry",6,2611,7.27,63.26,8.01,15.88,32.0,3.13,97.21,1.41,203.0,739.0,16.68,0.0,24.27
H007,"Coconut, kernel, fresh",6,1711,3.84,41.38,6.3,10.42,8.0,1.3,35.0,0.58,67.73,246.0,8.12,0.8,25.41
H008,"Garden cress, seeds",5,1863,23.36,23.74,33.66,8.27,318.0,17.2,307.0,4.83,539.0,952.0,21.84,0.0,30.92
H009,"Gingelly seeds, black",6,2124,19.17,43.1,10.29,17.16,1664.0,13.9,390.0,8.59,568.0,480.0,15.91,0.0,127.0
H010,"Gingelly seeds, brown",4,2161,21.61,43.22,9.76,17.21,1174.0,14.95,328.0,7.84,613.0,491.0,11.94,0.0,92.63
H011,"Gingelly seeds, white",5,2174,21.7,43.05,10.83,16.99,1283.0,15.04,372.0,7.77,754.0,460.0,15.43,0.0,131.0
H012,Ground nut,6,2176,23.65,39.63,17.27,10.38,54.0,3.44,197.0,3.18,391.0,679.0,12.21,0.0,90.87
H013,Mustard seeds,6,2132,19.51,40.19,16.8,14.1,402.0,13.49,266.0,4.03,715.0,694.0,3.97,0.0,94.88
H014,Linseeds,6,1857,18.55,35.67,10.99,26.17,257.0,5.44,349.0,4.86,445.0,655.0,32.93,0.0,86.5
H015,"Niger seeds, black",4,2144,18.92,38.61,22.98,10.93,572.0,18.19,346.0,4.98,461.0,716.0,10.7,0.0,140.0
H016,"Niger seeds, gray",5,2128,18.34,39.53,20.59,10.96,375.0,19.61,379.0,3.62,474.0,874.0,8.08,0.0,73.13
H017,Pine seed,5,2486,12.55,48.79,26.77,3.79,17.0,4.5,268.0,4.18,618.0,686.0,1.31,0.0,31.64
H018,Pistachio nuts,6,2257,23.35,42.49,15.82,10.64,135.0,4.5,149.0,2.42,537.0,1053.0,6.93,0.0,64.9
H019,Safflower seeds,5,1981,17.66,30.87,30.18,13.49,211.0,4.06,321.0,3.9,644.0,550.0,3.05,0.0,82.41
H020,Sunflower seeds,5,2453,23.53,51.85,6.85,10.8,176.0,5.85,413.0,7.07,752.0,559.0,1.9,0.0,81.79
H021,Walnut,6,2809,14.92,64.27,10.14,5.39,105.0,3.21,180.0,2.94,400.0,457.0,1.33,0.88,57.95
I001,"Jaggery, cane",6,1480,1.85,0.16,84.87,0.0,107.0,4.63,115.0,0.45,74.53,488.0,25.38,0.0,14.4
I002,"Sugarcane, juice",6,242,0.16,0.4,13.11,0.56,18.0,1.12,13.03,0.14,22.08,150.0,1.16,6.73,44.53
J001,"Button mushroom, fresh",1,115,3.68,0.42,1.98,3.11,18.38,0.29,18.3,0.17,87.11,318.0,7.72,0.0,8.28
J002,"Chicken mushroom, fresh",1,89,1.84,0.25,2.76,1.99,4.83,0.3,10.78,0.55,79.74,340.0,10.22,0.45,11.13
J003,"Shiitake mushroom, fresh",1,243,3.19,0.76,8.98,3.02,5.3,1.93,24.47,1.21,96.36,323.0,9.3,0.0,10.92
J004,"Oyster mushroom, dried",1,1019,19.04,2.86,33.07,39.12,23.61,3.58,136.0,8.67,702.0,350.0,8.67,0.0,10.4
K001,Toddy,10,101,0.18,0.03,5.72,0.0,0.44,0.42,3.99,0.01,5.82,83.54,1.64,0.92,0.73
K002,Coconut Water,6,64,0.26,0.16,3.16,0.0,27.47,0.06,18.19,0.04,18.05,215.0,28.09,0.64,10.88
L001,"Milk, whole, Buffalo",6,449,3.68,6.58,8.39,0.0,121.0,0.16,10.05,0.3,86.94,109.0,30.1,2.37,8.57
L002,"Milk, whole, Cow",6,305,3.26,4.48,4.94,0.0,118.0,0.15,8.28,0.33,96.56,115.0,25.46,2.01,7.03
L003,Panner,6,1079,18.86,14.78,12.41,0.0,476.0,0.9,26.62,2.74,330.0,63.53,18.04,0.0,93.31
L004,Khoa,6,1322,16.34,20.62,16.53,0.0,602.0,2.32,58.53,2.34,476.0,536.0,48.1,0.0,94.25
M001,"Egg, poultry, whole, raw",6,564,13.28,9.15,0.0,0.0,49.44,1.82,12.01,1.23,185.0,138.0,123.0,0.0,49.32
M002,"Egg, poultry, white, raw",6,187,10.84,0.06,0.0,0.0,5.64,0.07,11.42,0.03,15.81,152.0,166.0,0.0,4.96
M003,"Egg, poultry, yolk, raw",6,1242,15.74,26.34,0.0,0.0,116.0,3.17,13.17,1.64,549.0,118.0,46.33,0.0,112.0
M004,"Egg, poultry, whole, boiled",6,618,13.43,10.54,0.0,0.0,55.12,1.87,13.76,1.31,209.0,127.0,121.0,0.0,48.25
M005,"Egg, poultry, white, boiled",6,220,12.37,0.26,0.0,0.0,8.07,0.15,11.62,0.09,23.0,147.0,144.0,0.0,4.1
M006,"Egg, poultry, yolk, boiled",6,1290,16.13,27.46,0.0,0.0,120.0,4.92,15.52,3.59,586.0,106.0,44.83,0.0,110.0
M007,"Egg, poultry, omlet",3,710,16.53,11.6,0.0,0.0,53.26,2.16,14.84,1.31,222.0,163.0,169.0,0.0,37.66
M008,"Egg, country hen, whole, raw",1,704,13.14,13.0,0.0,0.0,50.14,1.64,11.0,1.12,198.0,117.0,157.0,0.0,54.6
M009,"Egg, country hen, whole, boiled",1,767,14.43,14.1,0.0,0.0,57.79,1.73,11.0,1.25,206.0,120.0,149.0,0.0,59.98
M010,"Egg, country hen, omlet",1,855,14.8,16.3,0.0,0.0,55.88,2.15,13.0,1.26,243.0,151.0,157.0,0.0,58.79
M011,"Egg, duck, whole, boiled",1,738,13.8,13.61,0.0,0.0,56.12,2.61,12.0,1.58,263.0,221.0,110.0,0.0,73.32
M012,"Egg, duck, whole, raw",1,760,14.6,13.83,0.0,0.0,52.46,2.46,12.0,1.49,247.0,228.0,113.0,0.0,75.48
M013,"Egg, duck, whole, omlet",1,804,15.1,14.8,0.0,0.0,71.79,3.28,15.0,1.89,309.0,154.0,175.0,0.0,67.95
M014,"Egg, quial, whole, raw",1,635,12.39,11.46,0.0,0.0,60.67,2.55,11.0,1.51,236.0,119.0,132.0,0.0,54.86
M015,"Egg, quial, whole, boiled",1,647,13.03,11.5,0.0,0.0,61.35,2.63,12.0,1.55,237.0,115.0,130.0,0.0,51.72
N001,"Chicken, poultry, leg, skinless",4,1605,19.44,12.64,0.0,0.0,20.52,1.27,23.82,1.77,199.0,283.0,65.07,0.0,7.47
N002,"Chicken, poultry, thigh, skinless",6,836,18.18,14.23,0.0,0.0,18.37,1.11,22.55,1.42,186.0,263.0,64.59,0.0,9.0
N003,"Chicken, poultry, breast, skinless",5,704,21.81,9.0,0.0,0.0,12.91,0.83,20.2,0.78,178.0,295.0,36.7,0.0,10.44
N004,"Chicken, poultry, wing, skinless",5,807,17.42,13.81,0.0,0.0,28.13,1.38,22.81,1.48,189.0,185.0,72.78,0.0,7.87
N005,"Poultry, chicken, liver",1,518,21.57,4.08,0.0,0.0,4.1,9.92,16.0,2.65,244.0,241.0,61.58,0.0,1032.0
N006,"Poultry, chicken, gizzard",1,386,18.22,2.07,0.0,0.0,5.46,3.19,14.0,2.65,119.0,244.0,50.6,0.0,8.72
N007,"Country hen, leg, with skin",1,723,17.01,11.73,0.0,0.0,22.56,1.66,25.0,2.71,250.0,357.0,50.46,0.0,8.1
N008,"Country hen, thigh, with skin",1,785,18.29,12.82,0.0,0.0,20.12,1.4,24.0,2.16,232.0,330.0,51.14,0.0,10.42
N009,"Country hen, breast, with skin",1,753,22.08,10.2,0.0,0.0,12.49,1.09,22.0,0.78,222.0,365.0,23.13,0.0,12.98
N010,"Country hen, wing, with skin",1,764,18.65,12.09,0.0,0.0,35.46,1.45,25.0,1.64,235.0,249.0,54.15,0.0,9.19
N011,"Duck, meat, with skin",1,547,19.07,6.03,0.0,0.0,22.77,4.26,26.0,2.92,237.0,273.0,82.25,0.0,27.98
N012,"Emu, meat, skinless",1,556,22.65,4.62,0.0,0.0,7.4,3.95,25.0,2.91,243.0,275.0,48.48,0.0,7.07
N013,"Guinea fowl, meat, with skin",1,469,20.52,3.24,0.0,0.0,30.77,2.2,21.0,1.48,187.0,240.0,57.64,0.0,5.69
N014,"Pigeon, meat, with skin",1,528,17.94,6.03,0.0,0.0,18.11,3.81,29.0,2.48,255.0,346.0,56.1,0.0,8.41
N015,"Quail, meat, skinless",1,576,20.92,5.95,0.0,0.0,20.6,1.9,31.0,1.13,300.0,333.0,56.21,0.0,9.33
N016,"Turkey, leg, with skin",1,647,20.3,8.15,0.0,0.0,20.44,2.01,26.0,3.35,236.0,308.0,66.47,0.0,8.55
N017,"Turkey, thigh, with skin",1,581,20.46,6.31,0.0,0.0,23.52,1.58,23.0,2.95,194.0,280.0,50.01,0.0,10.91
N018,"Turkey, breast, with skin",1,671,21.96,8.04,0.0,0.0,14.35,1.01,22.0,1.28,182.0,315.0,40.45,0.0,14.67
N019,"Turkey, wing, with skin",1,771,21.91,10.77,0.0,0.0,33.49,1.0,24.0,1.68,199.0,262.0,57.0,0.0,10.41
O001,"Goat, shoulder, meat",6,787,20.33,11.94,0.0,0.0,6.18,1.48,21.39,4.19,189.0,332.0,47.31,0.0,0.0
O002,"Goat, chops",6,568,20.39,5.98,0.0,0.0,7.44,1.87,21.13,4.55,195.0,334.0,45.72,0.0,0.0
O003,"Goat, legs",6,669,22.07,7.94,0.0,0.0,5.76,1.77,21.71,3.52,187.0,339.0,42.77,0.0,0.0
O004,"Goat, brain",5,533,13.82,8.06,0.0,0.0,10.61,1.63,13.94,1.08,296.0,296.0,132.0,0.0,0.0
O005,"Goat, tongue",4,789,16.63,13.68,0.0,0.0,7.11,2.09,19.39,2.44,212.0,223.0,118.0,0.0,0.0
O006,"Goat, lungs",4,401,16.86,3.09,0.0,0.0,10.44,7.1,11.48,1.7,209.0,180.0,85.72,0.0,0.0
O007,"Goat, heart",5,492,19.38,4.4,0.0,0.0,5.71,3.38,18.0,1.45,174.0,224.0,73.21,0.0,0.0
O008,"Goat, liver",6,526,20.32,4.88,0.0,0.0,6.09,6.56,18.0,3.48,336.0,284.0,55.41,0.0,0.0
O009,"Goat, tripe",5,386,15.36,3.36,0.0,0.0,20.87,0.81,13.0,1.66,59.2,45.0,22.38,0.0,0.0
O010,"Goat, spleen",4,401,18.45,2.37,0.0,0.0,8.35,51.41,15.3,1.95,266.0,368.0,52.4,0.0,0.0
O011,"Goat, kidneys",4,374,15.6,2.93,0.0,0.0,12.37,6.73,18.6,1.73,220.0,195.0,184.0,0.0,0.0
O012,"Goat, tube (small intestine)",3,525,12.92,8.26,0.0,0.0,27.52,2.21,7.14,1.12,55.9,130.0,7.46,0.0,0.0
O013,"Goat, testis",2,298,12.32,2.39,0.0,0.0,5.95,1.43,13.66,1.19,186.0,253.0,92.61,0.0,0.0
O014,"Sheep, shoulder",5,840,18.24,14.31,0.0,0.0,5.46,1.63,21.31,3.69,195.0,336.0,45.65,0.0,0.0
O015,"Sheep, chops",4,496,18.0,5.15,0.0,0.0,7.98,2.24,21.42,3.46,191.0,323.0,45.26,0.0,0.0
O016,"Sheep, leg",5,686,21.42,8.69,0.0,0.0,6.87,1.54,22.22,2.67,187.0,333.0,49.3,0.0,0.0
O017,"Sheep, brain",1,492,13.05,7.29,0.0,0.0,10.27,1.93,14.08,1.11,271.0,312.0,122.0,0.0,0.0
O018,"Sheep, tongue",1,783,16.61,13.53,0.0,0.0,8.05,2.46,24.53,2.46,207.0,220.0,185.0,0.0,0.0
O019,"Sheep, lungs",2,363,16.12,2.41,0.0,0.0,7.74,8.58,11.68,1.58,187.0,204.0,109.0,0.0,0.0
O020,"Sheep, heart",1,445,18.19,3.66,0.0,0.0,6.79,3.07,15.19,1.31,163.0,225.0,72.62,0.0,0.0
O021,"Sheep, liver",4,559,22.26,4.87,0.0,0.0,5.92,6.15,17.91,3.73,334.0,280.0,55.82,0.0,0.0
O022,"Sheep, tripe",2,435,16.76,4.05,0.0,0.0,14.85,0.9,17.81,1.89,55.61,48.75,18.37,0.0,0.0
O023,"Sheep, spleen",1,384,16.02,3.02,0.0,0.0,11.49,53.11,17.23,1.71,266.0,327.0,50.58,0.0,0.0
O024,"Sheep, kidneys",2,384,16.22,2.92,0.0,0.0,14.15,6.11,17.46,1.92,204.0,198.0,163.0,0.0,0.0
O025,"Beef, shoulder",6,889,20.56,14.59,0.0,0.0,6.5,2.22,22.24,4.64,201.0,367.0,45.59,0.0,0.0
O026,"Beef, chops",4,585,19.82,6.71,0.0,0.0,4.64,1.95,24.72,3.77,209.0,383.0,32.47,0.0,0.0
O027,"Beef, round (leg)",6,658,22.64,7.38,0.0,0.0,5.86,2.3,26.59,3.36,215.0,366.0,38.96,0.0,0.0
O028,"Beef, brain",4,523,10.55,9.28,0.0,0.0,11.38,2.15,15.84,1.18,326.0,320.0,127.0,0.0,0.0
O029,"Beef, tongue",4,731,15.63,12.57,0.0,0.0,9.49,2.17,22.82,3.31,220.0,260.0,89.88,0.0,0.0
O030,"Beef, lungs",3,351,15.66,2.28,0.0,0.0,9.31,6.85,11.6,1.52,172.0,216.0,109.0,0.0,0.0
O031,"Beef, heart",5,433,17.68,3.57,0.0,0.0,6.16,3.62,15.66,1.5,181.0,258.0,70.52,0.0,0.0
O032,"Beef, liver",6,499,20.73,3.96,0.0,0.0,5.46,14.82,18.57,4.36,332.0,289.0,50.14,0.0,0.0
O033,"Beef, tripe",5,316,13.1,2.51,0.0,0.0,15.3,0.84,9.33,2.02,60.17,143.0,41.0,0.0,0.0
O034,"Beef, spleen",6,378,17.42,2.22,0.0,0.0,9.4,31.68,15.8,2.01,252.0,348.0,58.94,0.0,0.0
O035,"Beef, kidneys",3,439,17.09,4.01,0.0,0.0,15.31,4.71,14.7,1.4,180.0,184.0,160.0,0.0,0.0
O036,"Calf, shoulder",2,633,20.98,7.47,0.0,0.0,8.39,1.31,22.71,3.31,197.0,369.0,77.0,0.0,0.0
O037,"Calf, chops",2,524,22.47,3.85,0.0,0.0,9.27,1.2,20.77,3.29,195.0,366.0,64.94,0.0,0.0
O038,"Calf, round (leg)",2,615,21.1,6.92,0.0,0.0,10.03,2.4,22.28,2.64,185.0,356.0,67.04,0.0,0.0
O039,"Calf, brain",2,448,9.84,7.6,0.0,0.0,10.53,1.44,14.29,1.11,296.0,306.0,115.0,0.0,0.0
O040,"Calf, tongue",2,737,17.78,11.76,0.0,0.0,9.08,2.63,15.38,2.67,178.0,238.0,91.64,0.0,0.0
O041,"Calf, heart",1,459,18.84,3.75,0.0,0.0,6.48,4.66,18.21,1.63,185.0,224.0,58.0,0.0,0.0
O042,"Calf, liver",1,503,21.02,3.95,0.0,0.0,5.19,16.26,19.16,3.8,358.0,307.0,54.99,0.0,0.0
O043,"Calf, spleen",1,379,17.71,2.12,0.0,0.0,10.56,25.42,18.95,2.02,274.0,372.0,67.87,0.0,0.0
O044,"Calf, kidneys",2,387,15.16,3.5,0.0,0.0,12.63,4.92,17.35,1.58,204.0,206.0,174.0,0.0,0.0
O045,"Mithun, shoulder",1,736,19.05,11.14,0.0,0.0,4.27,2.05,18.86,6.11,199.0,307.0,32.94,0.0,0.0
O046,"Mithun, chops",1,536,18.19,6.12,0.0,0.0,4.88,2.25,18.2,6.08,178.0,222.0,42.17,0.0,0.0
O047,"Mithun, round (leg)",1,485,19.61,4.1,0.0,0.0,5.32,2.18,22.23,3.47,190.0,338.0,28.42,0.0,0.0
O048,"Pork, shoulder",6,993,17.41,18.83,0.0,0.0,9.95,0.91,15.01,2.08,157.0,234.0,54.47,0.0,0.0
O049,"Pork, chops",6,748,19.41,11.3,0.0,0.0,8.12,1.0,11.62,1.34,143.0,243.0,43.7,0.0,0.0
O050,"Pork, ham",6,1006,18.83,18.55,0.0,0.0,7.4,1.27,17.05,1.76,140.0,239.0,40.44,0.0,0.0
O051,"Pork, lungs",4,358,15.13,2.74,0.0,0.0,10.3,6.76,9.82,1.18,161.0,200.0,61.41,0.0,0.0
O052,"Pork, heart",4,457,16.31,4.87,0.0,0.0,4.74,3.97,18.23,1.6,187.0,268.0,70.52,0.0,0.0
O053,"Pork, liver",5,484,19.89,3.94,0.0,0.0,5.52,20.74,16.59,4.19,310.0,279.0,64.89,0.0,0.0
O054,"Pork, stomach",1,550,15.36,7.81,0.0,0.0,11.75,1.92,23.32,2.34,125.0,200.0,109.0,0.0,0.0
O055,"Pork, spleen",3,357,15.13,2.71,0.0,0.0,6.98,27.21,16.08,2.09,230.0,325.0,49.14,0.0,0.0
O056,"Pork, kidneys",5,379,14.35,3.65,0.0,0.0,6.71,6.26,15.56,1.9,201.0,198.0,138.0,0.0,0.0
O057,"Pork, tube (small intestine)",1,587,14.96,8.98,0.0,0.0,16.05,2.83,9.78,1.36,124.0,140.0,60.17,0.0,0.0
O058,"Hare, shoulder",1,603,21.13,6.58,0.0,0.0,57.51,2.98,28.0,2.72,260.0,303.0,55.03,0.0,0.0
O059,"Hare, chops",1,445,20.62,2.55,0.0,0.0,38.36,2.78,31.0,1.45,295.0,340.0,48.61,0.0,0.0
O060,"Hare, leg",1,503,20.52,4.16,0.0,0.0,53.02,2.46,32.0,1.62,275.0,370.0,42.48,0.0,0.0
O061,"Rabbit, shoulder",1,635,20.01,7.96,0.0,0.0,46.37,1.74,32.0,2.34,238.0,361.0,61.38,0.0,0.0
O062,"Rabbit, chops",1,565,22.61,4.88,0.0,0.0,25.48,2.42,33.0,1.3,245.0,374.0,47.84,0.0,0.0
O063,"Rabbit, leg",1,584,21.31,5.99,0.0,0.0,22.31,1.21,21.0,1.23,245.0,389.0,46.03,0.0,0.0
P001,Allathi,1,406,21.77,0.98,0.0,0.0,13.78,0.62,29.08,0.3,215.0,286.0,32.68,0.0,0.0
P002,Aluva,3,434,21.63,1.8,0.0,0.0,11.32,0.42,34.38,0.38,245.0,470.0,44.86,0.0,0.0
P003,Anchovy,2,367,19.88,0.78,0.0,0.0,36.6,0.54,53.0,0.65,246.0,270.0,212.0,0.0,0.0
P004,Ari fish,1,415,22.01,1.11,0.0,0.0,4.36,0.47,30.27,0.31,265.0,447.0,37.35,0.0,0.0
P005,Betki,1,284,15.28,0.29,0.0,0.0,8.84,0.31,24.16,0.36,188.0,355.0,63.68,0.0,0.0
P006,Black snapper,1,377,19.5,1.24,0.0,0.0,9.91,0.56,26.72,0.4,195.0,341.0,41.23,0.0,0.0
P007,Bombay duck,2,287,13.53,1.03,0.0,0.0,159.0,0.81,24.27,0.42,185.0,188.0,223.0,0.0,0.0
P008,Bommuralu,3,485,22.3,2.87,0.0,0.0,47.33,0.43,27.13,0.67,207.0,349.0,61.87,0.0,0.0
P009,Cat fish,1,456,22.18,2.13,0.0,0.0,5.54,0.72,25.69,0.58,252.0,429.0,35.82,0.0,0.0
P010,Chakla,5,406,20.21,1.68,0.0,0.0,6.55,0.41,24.71,0.57,219.0,343.0,51.41,0.0,0.0
P011,Chappal,1,317,17.17,0.67,0.0,0.0,10.22,1.29,25.85,0.67,203.0,306.0,38.12,0.0,0.0
P012,Chelu,2,366,20.02,0.7,0.0,0.0,8.17,0.67,31.68,0.41,252.0,406.0,37.6,0.0,0.0
